name,constituency,party,legislative_membership_type,image,source,term
Angel Campos,Corozal South West,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Angel-Campos.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Anthony Martinez,Port Loyola,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Anthony-Martinez.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Beverly Williams,Belize Rural Central,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Beverly-Castillo.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Cordel Hyde,Lake Independence,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon-Cordel-Hyde.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Dean O. Barrow,Queen's Square,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Dean-Barrow.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Edmond Castro,Belize Rural North,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Edmond-Castro.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Elodio Aragon Jr.,Orange Walk East,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Elodio-Aragon.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Erwin Contreras,Cayo West,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Erwin-Contreras.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Florencio Marin Jr.,Corozal South East,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/New-Picture-1.png,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Francis Fonseca,Freetown,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/New-Picture.png,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Frank Mena,Dangriga,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Frank-Mena.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Gaspar Vega,Orange Walk North,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Gaspar-Vega.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Hugo Patt,Corozal North,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Hugo-Patt.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
John Briceño,Orange Walk Central,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon-John-Briceno.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
John Saldivar,Belmopan,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-John-Saldivar.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Jose Mai,Orange Walk South,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon-Jose-Mai.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Jose Manuel Heredia Jr.,Belize Rural South,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Manuel-Heredia.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Julius Espat,Cayo South,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon-Julius-Espat.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Kareem Musa,Caribbean Shores,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon-Kareem-Musa.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Michael Finnegan,Mesopotamia,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Michael-Finnegan.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Mike Espat,Toledo East,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon-Mike-Espat.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Mrs. Laura Tucker-Longsworth,"","",Speaker,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Laura-Tucker-Longsworth.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Omar Figueroa,Cayo North,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Omar-Figueroa.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Orlando Habet,Cayo North East,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon-Orlando-Habet.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Oscar Requena,Toledo West,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon-Oscar-Requena.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Pablo Marin,Corozal Bay,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Pablo-Marin.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Patrick Faber,Collet,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Patrick-Faber.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Rene Montero,Cayo Central,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Rene-Montero.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Rodwell Ferguson,Stann Creek West,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon-Rodwell-Ferguson2.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Said Musa,Fort George,People's United Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon-Said-Musa.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Tracy Taegar-Panton,Albert,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Tracy-Panton.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
Wilfred Elrington,Pickstock,United Democratic Party,,https://www.nationalassembly.gov.bz/wp-content/uploads/2016/05/Hon.-Wilfred-Elrington.jpg,http://www.nationalassembly.gov.bz/house-of-representatives/,10
