statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q1064368-BDC8DC8B-72ED-4C4B-9767-5B11E184BEB8,Q1064368,Charles Flanagan,Q6487881,Laois,Q247135,Fine Gael,2016-03-10,"",32
Q1064368-C57D7E7F-C92B-48BC-9775-049792BB8D96,Q1064368,Charles Flanagan,Q6487896,Laois–Offaly,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q10971358-2E49290C-DF5A-4673-9C84-98DE586623C2,Q10971358,Noel Harrington,Q2746787,Cork South–West,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q1165622-42A71ACB-2F91-4410-946B-FB2BB84D8EB5,Q1165622,Dara Calleary,Q1869725,Mayo,Q216517,Fianna Fáil,2016-03-10,"",32
Q1165622-6EB6FF54-E3DE-48F2-919D-314136D756C4,Q1165622,Dara Calleary,Q1869725,Mayo,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q1166562-60DFC609-C7A5-4658-874B-F94C9AF28A10,Q1166562,Darragh O'Brien,Q20620587,Dublin Fingal,Q216517,Fianna Fáil,2016-03-10,"",32
Q1237573-665B6FCB-AB3C-4260-B7DD-BF6AA7968883,Q1237573,Dominic Hannigan,Q1929591,Meath East,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q1271675-46ceeaf6-4f2b-ffd3-b55b-ccd907b4e65f,Q1271675,Paschal Donohoe,Q2622823,Dublin Central,Q247135,Fine Gael,2016-03-10,"",32
Q1271675-EF7C811B-C7D6-4714-9214-7A5E6D7BDDE5,Q1271675,Paschal Donohoe,Q2622823,Dublin Central,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q13156969-72A313B4-5DCC-4521-A78C-4EB15AA473F7,Q13156969,Brendan Griffin,Q6394444,Kerry,Q247135,Fine Gael,2016-03-10,"",32
Q13156969-6c65c1de-4879-3153-be28-25f083f1c8cd,Q13156969,Brendan Griffin,Q2408892,Kerry South,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q13156970-BABBF589-072D-432B-8568-1B0E75FCBF51,Q13156970,Brian Walsh,Q2251639,Galway West,Q247135,Fine Gael,2011-03-09,2013-07-02,31
Q13156970-07f6eeef-4c5e-1c46-fb8f-9c7a7a92d08e,Q13156970,Brian Walsh,Q2251639,Galway West,Q327591,independent politician,2013-07-02,2014-04-30,31
Q13156970-2e3d1765-4e3c-4fb4-4f44-529315ef33aa,Q13156970,Brian Walsh,Q2251639,Galway West,Q247135,Fine Gael,2014-04-30,2016-01-14,31
Q13157455-437168CD-3635-4A38-949F-4D90436BAD56,Q13157455,Joanna Tuffy,Q2641881,Dublin Mid–West,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q13157552-EC4786A7-D548-49D9-84EF-699CEC4D75E0,Q13157552,Maureen O'Sullivan,Q2622823,Dublin Central,Q327591,independent politician,2016-03-10,"",32
Q13157552-31a70def-4ca4-9cb2-ab5c-3cc4d50197e9,Q13157552,Maureen O'Sullivan,Q2622823,Dublin Central,Q327591,independent politician,2011-03-09,2016-02-03,31
Q13157830-83a6efc0-4440-a832-1a13-b535d004a1ba,Q13157830,Stephen Donnelly,Q2380581,Wicklow,Q327591,independent politician,2011-03-09,2016-02-03,31
Q13157830-17dd7710-4d63-6d19-9922-1064d65d1feb,Q13157830,Stephen Donnelly,Q2380581,Wicklow,Q327591,independent politician,2016-09-05,2017-02-02,32
Q13157830-87025e85-49ab-8135-49b6-ed3de893e364,Q13157830,Stephen Donnelly,Q2380581,Wicklow,Q216517,Fianna Fáil,2017-02-02,"",32
Q13157830-20D32A19-A75C-4514-987C-5BEABE025208,Q13157830,Stephen Donnelly,Q2380581,Wicklow,Q20682633,Social Democrats,2016-03-10,2016-09-05,32
Q13157894-BA0D63FE-4F61-48D1-8B37-6D061436343C,Q13157894,Tony McLoughlin,Q54932109,Sligo–Leitrim,Q247135,Fine Gael,2016-03-10,"",32
Q13157894-af8e7195-4345-c0b3-4fb5-b9ae067ad09e,Q13157894,Tony McLoughlin,Q7540535,Sligo–North Leitrim,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q1345787-C5D7E1DE-E424-4F71-8FC9-8B9B8E0F5620,Q1345787,Marc MacSharry,Q54932109,Sligo–Leitrim,Q216517,Fianna Fáil,2016-03-10,"",32
Q13648706-A1EA0418-37AC-4F93-BBF0-2BBDF1265ED5,Q13648706,Michael Colreavy,Q7540535,Sligo–North Leitrim,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q13653269-9A5AA77E-7DAF-4635-A711-EF72D92DD4BA,Q13653269,Nicky McFadden,Q6673850,Longford–Westmeath,Q247135,Fine Gael,2011-03-09,2014-03-25,31
Q1389005-F9F230C7-CD39-4261-B185-A2C5B6CD9BB6,Q1389005,Joe Higgins,Q5310999,Dublin West,Q1549074,Socialist Party,2011-03-09,2016-02-03,31
Q1390670-8681AC80-6A6B-4C2A-B294-E71F2AC545C8,Q1390670,Willie O'Dea,Q6549243,Limerick City,Q216517,Fianna Fáil,2016-03-10,"",32
Q1390670-B8E554BF-EAA2-4264-A814-D1A479F511B4,Q1390670,Willie O'Dea,Q6549243,Limerick City,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q1390688-4D4EF7CC-64FC-42EB-90D0-568152114DB9,Q1390688,Michael Noonan,Q6549243,Limerick City,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q1390688-1c5abb35-48dd-5c01-6cf3-43fb0b1b4eaa,Q1390688,Michael Noonan,Q6549243,Limerick City,Q247135,Fine Gael,2016-03-10,"",32
Q1443237-5B752277-8EF8-4289-80E2-947D3F543DD9,Q1443237,Frank Feighan,Q7367589,Roscommon–South Leitrim,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q1499408-429B6380-2BB6-4797-BFF5-41C6CC21CDA6,Q1499408,Shane McEntee,Q1929591,Meath East,Q247135,Fine Gael,2011-03-09,2012-12-21,31
Q1635157-D58E307D-1F17-46C7-AF30-C53E7E69A3CD,Q1635157,Noel Grealish,Q2251639,Galway West,Q327591,independent politician,2016-03-10,"",32
Q1635157-44C746F6-4C72-4CBF-9332-24D2C6EFEC27,Q1635157,Noel Grealish,Q2251639,Galway West,Q327591,independent politician,2011-03-09,2016-02-03,31
Q1670096-86200460-A893-4893-8522-61EAD83E631E,Q1670096,Simon Coveney,Q2635304,Cork South–Central,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q1670096-2FF01B74-A0C9-42C3-9924-3ACA3A22FD0F,Q1670096,Simon Coveney,Q2635304,Cork South–Central,Q247135,Fine Gael,2016-03-10,"",32
Q16727814-e764ab7e-430f-9032-f5b3-334dede762a6,Q16727814,Seán Canney,Q4568022,Galway East,Q327591,independent politician,2016-03-10,"",32
Q1680465-08BF2817-7DB9-483F-B959-AD590F918034,Q1680465,Michael Lowry,Q3083080,Tipperary North,Q327591,independent politician,2011-03-09,2016-02-03,31
Q1680465-235DE7D1-F82C-47C6-BEB7-775AE8186EAC,Q1680465,Michael Lowry,Q7808886,Tipperary,Q327591,independent politician,2016-03-10,"",32
Q1681029-1259A3F4-B742-43DF-81B2-BDBD56902DD6,Q1681029,James Reilly,Q5310945,Dublin North,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q16979875-b89f21b4-4846-6424-9ba5-67addc7a87dc,Q16979875,Ruth Coppinger,Q5310999,Dublin West,Q1549074,Socialist Party,2014-05-23,2016-02-03,31
Q16979875-96F47BA0-107C-4E85-B1BB-67BE9232F2C1,Q16979875,Ruth Coppinger,Q5310999,Dublin West,Q21218940,Solidarity–People Before Profit,2016-03-10,"",32
Q16980068-725632BA-7B0A-48F6-8F87-523C44153507,Q16980068,Gabrielle McFadden,Q6673850,Longford–Westmeath,Q247135,Fine Gael,2014-05-23,2016-02-03,31
Q1728820-b1236252-4784-0258-bf83-545bac6f3b2f,Q1728820,Leo Varadkar,Q5310999,Dublin West,Q247135,Fine Gael,2016-03-10,"",32
Q1728820-a983e78e-4e8a-3838-c348-88ac51af054a,Q1728820,Leo Varadkar,Q5310999,Dublin West,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q1738824-ca09e3f0-4762-fab5-e3e9-e43d9b1fe6dd,Q1738824,Terence Flanagan,Q2336579,Dublin North–East,Q327591,independent politician,2013-07-02,2015-03-13,31
Q1738824-b42aee88-4049-fbd7-3250-30c326d39769,Q1738824,Terence Flanagan,Q2336579,Dublin North–East,Q18720460,Renua Ireland,2015-03-13,2016-02-03,31
Q1738824-DA2C6C6D-79B1-4F84-95CF-339A337EC5E5,Q1738824,Terence Flanagan,Q2336579,Dublin North–East,Q247135,Fine Gael,2011-03-09,2013-07-02,31
Q1792782-62687B8C-3AB7-40FF-8809-1F920F7E1088,Q1792782,Noel Coonan,Q3083080,Tipperary North,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q18267375-1f063c74-4894-4c9f-39c4-87b81bf356c2,Q18267375,Michael Fitzmaurice,Q7367587,Roscommon–Galway,Q327591,independent politician,2016-03-10,"",32
Q18267375-596d3892-4020-59b0-579e-2a1cc267aa0d,Q18267375,Michael Fitzmaurice,Q7367589,Roscommon–South Leitrim,Q327591,independent politician,2014-10-11,2016-02-03,31
Q19667349-ddf6abd8-425d-a527-cbdc-dcfe38de6e25,Q19667349,Bríd Smith,Q5310969,Dublin South–Central,Q21218940,Solidarity–People Before Profit,2016-03-10,"",32
Q2038800-8FAF7BE6-6543-4FEA-B9F6-A10C53454CBD,Q2038800,Ruairi Quinn,Q5310970,Dublin South–East,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q20744658-4f63bedc-4943-37c2-1b49-ad19d907d92e,Q20744658,Noel Rock,Q2531985,Dublin North–West,Q247135,Fine Gael,2016-03-10,"",32
Q2149121-03A2EA41-3489-40DC-877C-AB372F043039,Q2149121,Richard Boyd Barrett,Q5320426,Dún Laoghaire,Q21218940,Solidarity–People Before Profit,2016-03-10,"",32
Q2149121-42AE97CA-C655-4BD0-8021-909F3822AB3E,Q2149121,Richard Boyd Barrett,Q5320426,Dún Laoghaire,Q3545406,People Before Profit Alliance,2011-03-09,2016-02-03,31
Q2159037-6418057D-5D34-447C-8073-BE530B0CB44B,Q2159037,Robert Troy,Q6673850,Longford–Westmeath,Q216517,Fianna Fáil,2016-03-10,"",32
Q2159037-87D89B5A-C679-421E-80F1-C0F5FC24E60F,Q2159037,Robert Troy,Q6673850,Longford–Westmeath,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q221888-CCB71A46-FAD5-4839-BA26-5E8BC6BA4B82,Q221888,Seán Barrett,Q5320426,Dún Laoghaire,Q1052201,Ceann Comhairle,2016-03-10,"",32
Q221888-A060A7C2-2537-43EB-AD8C-F4C85CC30522,Q221888,Seán Barrett,Q5320426,Dún Laoghaire,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q2276044-EFDE491C-7F59-4539-A904-92A5D61AE35B,Q2276044,Seán Kenny,Q2336579,Dublin North–East,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q2276876-356D8F93-C43B-4CCF-B89A-D89F67633769,Q2276876,Shane Ross,Q5310953,Dublin Rathdown,Q327591,independent politician,2016-03-10,"",32
Q2276876-8A7388D4-A9D1-4832-AA7A-221DE532B4DD,Q2276876,Shane Ross,Q4429557,Dublin South,Q327591,independent politician,2011-03-09,2016-02-03,31
Q22966979-56bfbb6e-4493-93cd-eaee-edb7a0e22e2a,Q22966979,Catherine Martin,Q5310953,Dublin Rathdown,Q831015,Green Party,2016-03-10,"",32
Q22978595-8555bbb1-4dad-3314-dc38-3aeaac8df5be,Q22978595,Gino Kenny,Q2641881,Dublin Mid–West,Q21218940,Solidarity–People Before Profit,2016-03-10,"",32
Q23006293-e86e60d0-4931-c6bd-3e08-214be62ea2a6,Q23006293,Imelda Munster,Q6689841,Louth,Q76382,Sinn Féin,2016-03-10,"",32
Q23006296-61b32908-48df-7c19-ef6b-1bdf3be117c4,Q23006296,Shane Cassells,Q2040462,Meath West,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006297-066d1741-436d-5624-a7bf-96dd705f547a,Q23006297,Kathleen Funchion,Q3913273,Carlow–Kilkenny,Q76382,Sinn Féin,2016-03-10,"",32
Q23006298-b62c69bc-47a7-6894-ae84-ddb1dc9a6bfa,Q23006298,Michael Harty,Q2570782,Clare,Q327591,independent politician,2016-03-10,"",32
Q23006301-27bfebc7-43e5-915d-c041-e67a5e360872,Q23006301,Frank O'Rourke,Q6406731,Kildare North,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006305-9C564A04-00BF-4655-934F-A03032C5C22A,Q23006305,Maria Bailey,Q5320426,Dún Laoghaire,Q247135,Fine Gael,2016-03-10,"",32
Q23006306-A6711D32-CD4A-488D-8117-771E5D1ED4BA,Q23006306,John Brady,Q2380581,Wicklow,Q76382,Sinn Féin,2016-03-10,"",32
Q23006307-870CEA05-0768-487D-906D-43C32E133515,Q23006307,John Brassil,Q6394444,Kerry,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006308-3A228558-C614-4458-85EC-C27C52C22DA4,Q23006308,Declan Breathnach,Q6689841,Louth,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006310-B92DDB6D-B323-43B6-992A-77F2B533FB9C,Q23006310,Colm Brophy,Q5310971,Dublin South–West,Q247135,Fine Gael,2016-03-10,"",32
Q23006311-C29E4D18-AC9B-44B6-B07C-3883DA0A8CEC,Q23006311,James Browne,Q3458611,Wexford,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006312-6616AF62-F5A3-49F3-89C5-2FF7AEAC27D2,Q23006312,Pat Buckley,Q16951667,Cork East,Q76382,Sinn Féin,2016-03-10,"",32
Q23006313-86EBB471-B5AC-4792-B299-A59FD6FCB940,Q23006313,Peter Burke,Q6673850,Longford–Westmeath,Q247135,Fine Gael,2016-03-10,"",32
Q23006314-68E69418-67C6-4B08-97D0-3491E9110BFD,Q23006314,Mary Butler,Q2109423,Waterford,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006315-A4FE8E7F-2E64-49B9-89FA-921014D221EF,Q23006315,Jackie Cahill,Q7808886,Tipperary,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006316-E0B6F1B7-D124-4F21-BEB0-0426DC3E0B3E,Q23006316,Pat Casey,Q2380581,Wicklow,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006317-C2115DA1-140D-46B3-BED7-51C2878827FC,Q23006317,Lisa Chambers,Q1869725,Mayo,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006318-F680FAC8-3B76-4DE8-A12C-6585231B932B,Q23006318,Jack Chambers,Q5310999,Dublin West,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006319-29B39785-9A5A-4DEE-BDF3-F8BF150F8428,Q23006319,Michael Collins,Q2746787,Cork South–West,Q327591,independent politician,2016-03-10,"",32
Q23006320-F6C01769-B9D9-4EDE-A36B-119E5152FAF2,Q23006320,Danny Healy-Rae,Q6394444,Kerry,Q327591,independent politician,2016-03-10,"",32
Q23006321-C6F1588E-A007-48DA-B97D-147CC0479BF1,Q23006321,Martin Kenny,Q54932109,Sligo–Leitrim,Q76382,Sinn Féin,2016-03-10,"",32
Q23006322-25F763B1-1112-475E-9834-32FC1AD3F3BE,Q23006322,John Lahart,Q5310971,Dublin South–West,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006323-DE0722B9-2D3A-4F6C-9FE4-815333921D4D,Q23006323,James Lawless,Q6406731,Kildare North,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006324-AE0F30DA-A370-472A-8C72-D839166260B8,Q23006324,Josepha Madigan,Q5310953,Dublin Rathdown,Q247135,Fine Gael,2016-03-10,"",32
Q23006325-19EDD70C-0AB0-4A3F-B88B-69077798D0DE,Q23006325,Denise Mitchell,Q5310820,Dublin Bay North,Q76382,Sinn Féin,2016-03-10,"",32
Q23006326-C5841E20-E52C-4B49-A1AF-760E10593B4E,Q23006326,Kevin Moran,Q6673850,Longford–Westmeath,Q327591,independent politician,2016-03-10,"",32
Q23006327-8954FC9C-EADE-41B4-8BD5-83A36FE1BED7,Q23006327,Aindrias Moynihan,Q3147235,Cork North–West,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006328-6A5FBBF1-7376-40B1-8B4A-B2B29E9C3279,Q23006328,Margaret Murphy O'Mahony,Q2746787,Cork South–West,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006329-9E7B9FC9-F1B0-4983-AF3B-B179F045B1DA,Q23006329,Eugene Murphy,Q7367587,Roscommon–Galway,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006330-666E413B-96C5-4043-BB91-210254160EB7,Q23006330,Tom Neville,Q6549251,Limerick County,Q247135,Fine Gael,2016-03-10,"",32
Q23006332-370691E1-A7E5-489A-8294-B902713E422C,Q23006332,Carol Nolan,Q7079018,Offaly,Q76382,Sinn Féin,2016-03-10,2018-03-22,32
Q23006332-87f1854d-42bd-a03d-6e5c-53c15a3d074b,Q23006332,Carol Nolan,Q7079018,Offaly,Q327591,independent politician,2018-03-22,"",32
Q23006333-83D63329-8F90-452E-8691-26814F7D3F5E,Q23006333,Jim O'Callaghan,Q5310822,Dublin Bay South,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006334-D5F13E37-7E3A-4120-8C50-A79DFB67D58D,Q23006334,Kate O'Connell,Q5310822,Dublin Bay South,Q247135,Fine Gael,2016-03-10,"",32
Q23006335-4EEC0D1C-0A42-423B-A7C8-7B8C0DF01419,Q23006335,Kevin O'Keeffe,Q16951667,Cork East,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006336-BDE8A004-BB44-461F-94E3-53E361C2D109,Q23006336,Donnchadh Ó Laoghaire,Q2635304,Cork South–Central,Q76382,Sinn Féin,2016-03-10,"",32
Q23006337-CF59BF90-8D8A-4E21-86C7-C194A42EF520,Q23006337,Fiona O'Loughlin,Q17088606,Kildare South,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006338-1E81CE92-17EF-4536-BE8E-DD8E2FD4A2CB,Q23006338,Louise O'Reilly,Q20620587,Dublin Fingal,Q76382,Sinn Féin,2016-03-10,"",32
Q23006339-F2480F8B-B8E4-4136-8361-00EBE044C2D7,Q23006339,Anne Rabbitte,Q4568022,Galway East,Q216517,Fianna Fáil,2016-03-10,"",32
Q23006341-A1945189-5F25-45DC-BAAC-89BBBC7D4018,Q23006341,Niamh Smyth,Q2701743,Cavan–Monaghan,Q216517,Fianna Fáil,2016-03-10,"",32
Q2434824-A9B0046E-AAE1-400C-B12F-D42B4CBBBB9E,Q2434824,Timmy Dooley,Q2570782,Clare,Q216517,Fianna Fáil,2016-03-10,"",32
Q2434824-CC79CEF4-DC3A-446B-B11B-4539450CBFDC,Q2434824,Timmy Dooley,Q2570782,Clare,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q248784-5eed763d-48ef-ebc3-8e82-9cac60b7a76b,Q248784,Pearse Doherty,Q2669879,Donegal South–West,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q248784-CC6D7FC8-2065-4C62-A492-EF3E466449DB,Q248784,Pearse Doherty,Q5295599,Donegal,Q76382,Sinn Féin,2016-03-10,"",32
Q2623867-5CAA99FF-9679-43F3-9D7B-365AAF9EB162,Q2623867,Alex White,Q4429557,Dublin South,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q263894-DC0B8AF9-7F9D-4B39-B428-FC28F866760F,Q263894,John Lyons,Q2531985,Dublin North–West,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q273274-FD0961C8-E83F-4303-8C42-DE77254AA902,Q273274,Éamon Ó Cuív,Q2251639,Galway West,Q216517,Fianna Fáil,2016-03-10,"",32
Q273274-F703DA98-75B7-4EB1-9DDC-39A61D20730B,Q273274,Éamon Ó Cuív,Q2251639,Galway West,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q278178-DABD1016-CD76-4364-99DF-846F7AE3EE0C,Q278178,Seán Haughey,Q5310820,Dublin Bay North,Q216517,Fianna Fáil,2016-03-10,"",32
Q2975532-08671241-3C75-4B57-86D6-803B2CCE0C30,Q2975532,Clare Daly,Q20620587,Dublin Fingal,Q17100320,Independents 4 Change,2016-03-10,"",32
Q2975532-f44d468f-41a1-8454-15e1-6e2b5c1ba8cc,Q2975532,Clare Daly,Q5310945,Dublin North,Q327591,independent politician,2012-08-31,2016-02-03,31
Q2975532-1A42FE50-6CE4-4D70-B96A-B93D231A4469,Q2975532,Clare Daly,Q5310945,Dublin North,Q1549074,Socialist Party,2011-03-09,2012-08-31,31
