statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q559627-655F2EA0-87B1-4CFD-BD6E-7688340F07B4,Q559627,Jimmy Deenihan,Q6394603,Kerry North–West Limerick,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q559638-0ebc79f0-4cb1-1b25-737b-f4997430dbf9,Q559638,Pat Breen,Q2570782,Clare,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q559638-6B4A49EC-D6DD-41EA-AE90-708780B054C9,Q559638,Pat Breen,Q2570782,Clare,Q247135,Fine Gael,2016-03-10,"",32
Q560453-4336498d-4e62-b9ec-5a50-7557aecd59fa,Q560453,Pat Rabbitte,Q5310971,Dublin South–West,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q5693903-F02C4BEC-A097-41E3-B3FA-E2D61B9F2BCC,Q5693903,Heather Humphreys,Q2701743,Cavan–Monaghan,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q5693903-7573FC15-02B9-4E9E-9E1F-76554AE9BCD4,Q5693903,Heather Humphreys,Q2701743,Cavan–Monaghan,Q247135,Fine Gael,2016-03-10,"",32
Q5761616-395b4ee7-4131-0a27-dcbd-3d473197988f,Q5761616,Hildegarde Naughton,Q2251639,Galway West,Q247135,Fine Gael,2016-03-10,"",32
Q57815-08951DE3-FB42-468E-9D5C-F1FCF49EE282,Q57815,Enda Kenny,Q1869725,Mayo,Q247135,Fine Gael,2016-03-10,"",32
Q57815-21f25baa-4945-fef8-97de-c5de89c4e8c1,Q57815,Enda Kenny,Q1869725,Mayo,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6129349-D77611CB-0CFE-4019-A30C-7BA1745524A9,Q6129349,James Bannon,Q6673850,Longford–Westmeath,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q616919-14FEA66F-0244-49D4-8A92-30CDCBD9AB6F,Q616919,Paul Murphy,Q5310971,Dublin South–West,Q21218940,Solidarity–People Before Profit,2016-03-10,"",32
Q616919-6cc81d8a-42eb-1534-20c2-bc26d0068b37,Q616919,Paul Murphy,Q5310971,Dublin South–West,Q16000050,Solidarity,2014-10-11,2016-02-03,31
Q6183343-AAFFC932-BD8F-4136-A83F-60D4D34EA620,Q6183343,Jerry Buttimer,Q2635304,Cork South–Central,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6194524-F8C1F0B9-88B7-4D07-82C4-67C3533A99C1,Q6194524,Jim Daly,Q2746787,Cork South–West,Q247135,Fine Gael,2011-03-09,2011-02-03,31
Q6194524-8D2249A0-DAEA-4E69-B4B6-C3CEA7249F6E,Q6194524,Jim Daly,Q2746787,Cork South–West,Q247135,Fine Gael,2016-03-10,"",32
Q6204959-C25FC56B-9AC4-4675-AA30-AB0A4F5CB5D3,Q6204959,Joan Collins,Q5310969,Dublin South–Central,Q17100320,Independents 4 Change,2016-03-10,"",32
Q6204959-a1ba2667-48dd-d4c6-7b41-adc6e2c93a41,Q6204959,Joan Collins,Q5310969,Dublin South–Central,Q327591,independent politician,2013-04-25,2016-02-03,31
Q6204959-F348C8D6-A610-44E4-8B1C-80BD75EB44D7,Q6204959,Joan Collins,Q5310969,Dublin South–Central,Q3545406,People Before Profit Alliance,2011-03-09,2013-04-25,31
Q6209000-1314BA20-721D-4E62-99EA-17D9C1A5219C,Q6209000,Joe Carey,Q2570782,Clare,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6209000-0B19D3D6-358C-4390-887E-D0F66AE7D7E5,Q6209000,Joe Carey,Q2570782,Clare,Q247135,Fine Gael,2016-03-10,"",32
Q6211254-1D39D902-AD7E-41BB-9032-CC112D653A89,Q6211254,Joe McHugh,Q5295599,Donegal,Q247135,Fine Gael,2016-03-10,"",32
Q6211254-57F23E7A-E5E8-4BD2-8F2C-DFB7B874E046,Q6211254,Joe McHugh,Q2566127,Donegal North–East,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6211607-7ED79667-EB09-4764-A42A-FB2109A47F9C,Q6211607,Joe O'Reilly,Q2701743,Cavan–Monaghan,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6227930-3AAD2E20-47CD-4F84-BCEB-56A3A59ECF83,Q6227930,John Curran,Q2641881,Dublin Mid–West,Q216517,Fianna Fáil,2016-03-10,"",32
Q6237376-2F7CCF1D-A6E0-442C-BCF1-BFC46D9DD9B8,Q6237376,John Halligan,Q2109423,Waterford,Q327591,independent politician,2016-03-10,"",32
Q6237376-88DA901C-5DB9-4117-A8A2-DE1FBBDA7EE8,Q6237376,John Halligan,Q2109423,Waterford,Q327591,independent politician,2011-03-09,2016-02-03,31
Q6241177-0308002B-8CA4-4DEC-A78A-CFEF4B352AFD,Q6241177,John J. McGuinness,Q3913273,Carlow–Kilkenny,Q216517,Fianna Fáil,2016-03-10,"",32
Q6241177-5D066BC2-BD5E-427C-96AD-70A6A1CCCF10,Q6241177,John J. McGuinness,Q3913273,Carlow–Kilkenny,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q6250954-0C26DD06-7C05-4E74-A24F-037DAD096314,Q6250954,John O'Mahony,Q1869725,Mayo,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6252268-8B365810-959C-4E92-A711-52CE7B11BE58,Q6252268,John Paul Phelan,Q3913273,Carlow–Kilkenny,Q247135,Fine Gael,2016-03-10,"",32
Q6252268-7F5906E5-B847-42F3-8012-BE7796F594A7,Q6252268,John Paul Phelan,Q3913273,Carlow–Kilkenny,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6274034-CDB6C332-04B7-46C5-97E2-CC062645ACFF,Q6274034,Jonathan O'Brien,Q2357143,Cork North–Central,Q76382,Sinn Féin,2016-03-10,"",32
Q6274034-A560F6AF-479B-4BD3-9512-C281A8BF2B68,Q6274034,Jonathan O'Brien,Q2357143,Cork North–Central,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q631505-2D78C81D-F378-4E5E-A8B6-749EDC7932B3,Q631505,Michael P. Kitt,Q4568022,Galway East,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q6376580-ef6d0e24-4c4f-d863-bfae-8dde6b69aa8f,Q6376580,Katherine Zappone,Q5310971,Dublin South–West,Q327591,independent politician,2016-03-10,"",32
Q6396541-B6210E5A-A392-434E-AEE6-AC190AED36F9,Q6396541,Kevin Humphreys,Q5310970,Dublin South–East,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q6405442-D39AF60F-A28E-442B-ADE6-E6890CC5D6A9,Q6405442,Kieran O'Donnell,Q6549243,Limerick City,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6756353-D7505F30-83DF-479E-96CA-33562495FF7C,Q6756353,Marcella Corcoran Kennedy,Q7079018,Offaly,Q247135,Fine Gael,2016-03-10,"",32
Q6756353-6C7ACC1E-33CF-4A4F-AEE4-6B8C09E42F2B,Q6756353,Marcella Corcoran Kennedy,Q6487896,Laois–Offaly,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6775424-C603C301-6CE1-4073-864E-3E46AD77F682,Q6775424,Martin Ferris,Q6394444,Kerry,Q76382,Sinn Féin,2016-03-10,"",32
Q6775424-B466C66C-6FA5-49FD-9341-09615D8FF152,Q6775424,Martin Ferris,Q6394603,Kerry North–West Limerick,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q6775671-B76803D2-F3F0-45FB-9B22-4366F2528E5D,Q6775671,Martin Heydon,Q17088606,Kildare South,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6775671-B08C6741-8AA8-4298-97E9-D6E5B6C2438D,Q6775671,Martin Heydon,Q17088606,Kildare South,Q247135,Fine Gael,2016-03-10,"",32
Q6780355-6b0a2095-44d2-7521-1c96-2476d7b29f9d,Q6780355,Mary Mitchell O'Connor,Q5320426,Dún Laoghaire,Q247135,Fine Gael,2016-03-10,"",32
Q6780355-123A961F-9C30-4C8C-8544-E0662242C7FA,Q6780355,Mary Mitchell O'Connor,Q5320426,Dún Laoghaire,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6791813-6E433805-4BD8-41FD-B469-AA36FC5737D1,Q6791813,Mattie McGrath,Q7808886,Tipperary,Q327591,independent politician,2016-03-10,"",32
Q6791813-63B43EFF-5171-47E3-ADC8-A909233CC753,Q6791813,Mattie McGrath,Q2739535,Tipperary South,Q327591,independent politician,2011-03-09,2016-02-03,31
Q6793427-74BB0C30-D2F8-4865-B7A3-54C4BF5466F4,Q6793427,Maurice Quinlivan,Q6549243,Limerick City,Q76382,Sinn Féin,2016-03-10,"",32
Q6829535-2C78602C-FB1A-413A-B0C3-171E757DDAD7,Q6829535,Michael Creed,Q3147235,Cork North–West,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6829535-BC49C706-3A5A-41DD-ACC0-A8C2C4246FDC,Q6829535,Michael Creed,Q3147235,Cork North–West,Q247135,Fine Gael,2016-03-10,"",32
Q6831036-4b845a12-41be-bcef-1069-f615e23ff5c9,Q6831036,Michael Healy-Rae,Q6394444,Kerry,Q327591,independent politician,2016-03-10,"",32
Q6831036-B7ED986A-ED88-4E19-A742-CF4679A5C74B,Q6831036,Michael Healy-Rae,Q2408892,Kerry South,Q327591,independent politician,2011-03-09,2016-02-03,31
Q6832633-9E57EE74-9D1D-4AFF-912E-DA2154886D54,Q6832633,Michael McCarthy,Q2746787,Cork South–West,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q6832712-E5E05183-BEDB-42A6-8FF8-7509A7027BB1,Q6832712,Michael McGrath,Q2635304,Cork South–Central,Q216517,Fianna Fáil,2016-03-10,"",32
Q6832712-17D9028E-26E1-41D1-AD14-EBEAD30BD45C,Q6832712,Michael McGrath,Q2635304,Cork South–Central,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q6832776-d7224e3e-4479-e0a6-1433-f87b3c4ad338,Q6832776,Michael McNamara,Q2570782,Clare,Q327591,independent politician,2015-05-30,2015-09-15,31
Q6832776-9e99ad23-4157-48d0-d331-9ded28719883,Q6832776,Michael McNamara,Q2570782,Clare,Q503614,Labour Party,2015-09-16,2016-02-03,31
Q6832776-370DD837-5E07-43ED-9F84-5331D5BCA7E1,Q6832776,Michael McNamara,Q2570782,Clare,Q503614,Labour Party,2011-03-09,2015-05-29,31
Q6835128-6AEAD031-738C-4029-8754-24E0C524EEA6,Q6835128,Michael W. D'Arcy,Q3458611,Wexford,Q247135,Fine Gael,2016-03-10,"",32
Q6837190-0059D5A7-6924-4475-898D-AFA8403521BD,Q6837190,Michelle Mulherin,Q1869725,Mayo,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6838053-EA17D378-9143-4835-9BCF-A70E82750FDE,Q6838053,Mick Barry,Q2357143,Cork North–Central,Q21218940,Solidarity–People Before Profit,2016-03-10,"",32
Q6838473-077AE03A-CF1C-42CA-BAFE-B5F26CBA74EF,Q6838473,Mick Wallace,Q3458611,Wexford,Q17100320,Independents 4 Change,2016-03-10,"",32
Q6838473-BF253C9F-9406-42C0-B615-2382400A679D,Q6838473,Mick Wallace,Q3458611,Wexford,Q327591,independent politician,2011-03-09,2016-02-03,31
Q7023861-7DD68FC9-8C7C-4EC3-A6BC-96A5C10DB2E9,Q7023861,Niall Collins,Q6549251,Limerick County,Q216517,Fianna Fáil,2016-03-10,"",32
Q7023861-1958FA5C-ADBA-45D1-B62F-0AE475F0123C,Q7023861,Niall Collins,Q6549238,Limerick,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q7143361-2DEB8D85-02CF-4900-B129-90DC28951DD8,Q7143361,Pat Deering,Q3913273,Carlow–Kilkenny,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q7143361-2D4D5718-9501-4394-9DD7-9CB9E81827F6,Q7143361,Pat Deering,Q3913273,Carlow–Kilkenny,Q247135,Fine Gael,2016-03-10,"",32
Q7147356-6F274833-2176-46B5-B49A-BA36EFA37C72,Q7147356,Patrick Nulty,Q5310999,Dublin West,Q503614,Labour Party,2011-10-29,2011-12-06,31
Q7147356-d0e5bbeb-4037-dbc3-7a72-eda86663103f,Q7147356,Patrick Nulty,Q5310999,Dublin West,Q327591,independent politician,2011-12-06,2014-03-22,31
Q7147378-C0DC2C64-AC31-4781-B297-30D6272F7A29,Q7147378,Patrick O'Donovan,Q6549251,Limerick County,Q247135,Fine Gael,2016-03-10,"",32
Q7147378-A212C7C3-AD9E-4374-B37B-1CAF8A6CBB76,Q7147378,Patrick O'Donovan,Q6549238,Limerick,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q7148855-08899906-53CC-422D-A273-2A4435949AB2,Q7148855,Paudie Coffey,Q2109423,Waterford,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q7149927-0FB836BA-C14A-4BA9-8F75-EF130CCD5D43,Q7149927,"Paul Connaughton, Jnr",Q4568022,Galway East,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q7157787-0418A630-E655-4E8E-904A-4FEE7A6169F0,Q7157787,Peadar Tóibín,Q2040462,Meath West,Q76382,Sinn Féin,2016-03-10,"",32
Q7157787-6D923D48-B2FA-422A-BFCA-4D2F4F47194D,Q7157787,Peadar Tóibín,Q2040462,Meath West,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q7174004-7AE440D2-6DB4-4ED1-9334-FDCF04F6484F,Q7174004,Peter Fitzpatrick,Q6689841,Louth,Q247135,Fine Gael,2016-03-10,"",32
Q7174004-C0CC4765-DEA0-4329-8B62-A706F81B2516,Q7174004,Peter Fitzpatrick,Q6689841,Louth,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q7175706-12927184-4984-0328-4868-1c1e56cdfda3,Q7175706,Peter Mathews,Q4429557,Dublin South,Q327591,independent politician,2013-07-02,2016-02-03,31
Q7175706-51FD57F6-3521-478F-B666-19E265B80B39,Q7175706,Peter Mathews,Q4429557,Dublin South,Q247135,Fine Gael,2011-03-09,2013-07-02,31
Q7264002-DA706F20-EF79-4FC6-A40B-E325319947AF,Q7264002,Pádraig Mac Lochlainn,Q2566127,Donegal North–East,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q7297275-6BAC9BAD-4805-41DD-A0EB-DFC1CD02163F,Q7297275,Ray Butler,Q2040462,Meath West,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q7308461-CB076C6B-AA88-43C7-964C-430A36059F9E,Q7308461,Regina Doherty,Q1929591,Meath East,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q7308461-7DF98606-1D08-4AB1-94D5-70F9E95EDC89,Q7308461,Regina Doherty,Q1929591,Meath East,Q247135,Fine Gael,2016-03-10,"",32
Q7343623-A0B58FA5-8FAF-46F0-9B55-436027B91EA7,Q7343623,Robert Dowds,Q2641881,Dublin Mid–West,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q7416710-509E3137-4545-4566-BA6B-40C849EE6022,Q7416710,Sandra McLellan,Q16951667,Cork East,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q7459491-d19a1e58-4845-6c8d-993e-4c08079b9d4c,Q7459491,Seán Conlan,Q2701743,Cavan–Monaghan,Q327591,independent politician,2015-11-25,2016-02-03,31
Q7459491-D6BD3869-2BEA-4C0B-998B-5F3571DF81A1,Q7459491,Seán Conlan,Q2701743,Cavan–Monaghan,Q247135,Fine Gael,2011-03-09,2015-11-24,31
Q7459496-2AF9BEB3-10B6-4373-94A7-01698FF1368B,Q7459496,Seán Crowe,Q5310971,Dublin South–West,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q7459496-34054fe6-4a39-0272-2d7c-e2708cd78709,Q7459496,Seán Crowe,Q5310971,Dublin South–West,Q76382,Sinn Féin,2016-03-10,"",32
Q7459544-4BC9F450-8C8A-4610-A155-9055DEB5953D,Q7459544,Seán Kyne,Q2251639,Galway West,Q247135,Fine Gael,2016-03-10,"",32
Q7459544-53a467e4-4b4e-31ae-17a5-8a8f01c1ce9f,Q7459544,Seán Kyne,Q2251639,Galway West,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q7459604-48AE6E38-8CF9-4ADD-B6FB-83210DC12289,Q7459604,Seán Sherlock,Q16951667,Cork East,Q503614,Labour Party,2016-03-10,"",32
Q7459604-b4fe1217-4741-89c1-2e73-d65f26d016a2,Q7459604,Seán Sherlock,Q16951667,Cork East,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q7459627-C1C5E47E-74DA-47B5-8934-D0116D9873B0,Q7459627,Seán Ó Fearghaíl,Q17088606,Kildare South,Q216517,Fianna Fáil,2016-03-10,"",32
Q7459627-f70e5465-4e00-c4a5-bb42-f4b767555f00,Q7459627,Seán Ó Fearghaíl,Q17088606,Kildare South,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q7518922-e6882347-480d-b2b2-5699-c8684bf468e4,Q7518922,Simon Harris,Q2380581,Wicklow,Q247135,Fine Gael,2016-03-10,"",32
Q7518922-72822EB7-9F69-4336-AD4F-2D014C6FD31A,Q7518922,Simon Harris,Q2380581,Wicklow,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q76139-07f5e4c0-4905-ca9f-733a-da7486a1dcac,Q76139,Gerry Adams,Q6689841,Louth,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q76139-6D34FE78-9885-4C9D-9304-7522BBAC769A,Q76139,Gerry Adams,Q6689841,Louth,Q76382,Sinn Féin,2016-03-10,"",32
Q7665856-398C905E-0332-451E-8C58-8B74F3909635,Q7665856,Séamus Healy,Q7808886,Tipperary,Q4118799,Workers and Unemployed Action Group,2016-03-10,"",32
Q7665856-bc67c8d4-43c9-aeea-40e7-ff41e34622a9,Q7665856,Séamus Healy,Q2739535,Tipperary South,Q4118799,Workers and Unemployed Action Group,2011-03-09,2016-02-03,31
Q7788105-AE948493-E69F-419C-965B-E827596924F1,Q7788105,Thomas Byrne,Q1929591,Meath East,Q216517,Fianna Fáil,2016-03-10,"",32
Q7793298-D0FDC4F4-AE00-44A6-B029-38B3262FB850,Q7793298,Thomas Pringle,Q5295599,Donegal,Q327591,independent politician,2016-03-10,"",32
Q7793298-42b85ace-45dc-e046-a3b1-4b431a967617,Q7793298,Thomas Pringle,Q2669879,Donegal South–West,Q327591,independent politician,2011-03-09,2016-02-03,31
Q7814890-9AE5F3B6-C174-4D3B-9368-2570A2D5913C,Q7814890,Tom Barry,Q16951667,Cork East,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q7815805-0CA25C33-4312-4EAB-AFAA-9E62E3DA5A3D,Q7815805,Tom Fleming,Q2408892,Kerry South,Q327591,independent politician,2011-03-09,2016-02-03,31
Q8076620-2CCEB2DC-FA9F-4092-8671-EEE06BCA064C,Q8076620,Áine Collins,Q3147235,Cork North–West,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q888438-4BFEEEDA-D1DD-484E-9955-DE747A0CA7AB,Q888438,Bobby Aylward,Q3913273,Carlow–Kilkenny,Q216517,Fianna Fáil,2016-03-10,"",32
Q888438-A31E5B9E-B3DA-4CC3-8F96-205F68928B85,Q888438,Bobby Aylward,Q3913273,Carlow–Kilkenny,Q216517,Fianna Fáil,2015-05-23,2016-02-03,31
Q8939886-D959C7C2-5036-4454-9202-F278C59FFFEF,Q8939886,Helen McEntee,Q1929591,Meath East,Q247135,Fine Gael,2016-03-10,"",32
Q8939886-1cb81c24-46a5-704a-131b-e0d8044cd875,Q8939886,Helen McEntee,Q1929591,Meath East,Q247135,Fine Gael,2013-03-27,2016-02-03,31
Q912430-71D27F14-A4E6-4235-9E5E-821AC453B079,Q912430,"Brian Lenihan, Jnr",Q5310999,Dublin West,Q216517,Fianna Fáil,2011-03-09,2011-06-10,31
Q920195-BC315929-6A67-4034-B30B-C5718212FF19,Q920195,Eamon Ryan,Q5310822,Dublin Bay South,Q831015,Green Party,2016-03-10,"",32
Q920403-36196E42-D473-44DD-9BE1-55178186EDA5,Q920403,Micheál Martin,Q2635304,Cork South–Central,Q216517,Fianna Fáil,2016-03-10,"",32
Q920403-CDB2594F-2678-4108-8149-86DE2A29CD70,Q920403,Micheál Martin,Q2635304,Cork South–Central,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q981847-da69e757-4e44-b794-2add-36d98c4f3b96,Q981847,Richard Bruton,Q2913560,Dublin North–Central,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q981847-0c918e45-4736-1d13-cd42-bb7d76f6f79a,Q981847,Richard Bruton,Q5310820,Dublin Bay North,Q247135,Fine Gael,2016-03-10,"",32
Q981866-2570805F-8E08-4808-AD94-E107ADD57B4B,Q981866,Pat the Cope Gallagher,Q5295599,Donegal,Q216517,Fianna Fáil,2016-03-10,"",32
Q981878-59FA940A-7E5F-4D69-A939-411BB02F2A12,Q981878,Séamus Kirk,Q6689841,Louth,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q982225-238FE623-C5C1-409E-91B4-B7937DF8094E,Q982225,Eamon Gilmore,Q5320426,Dún Laoghaire,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q983508-5e9295a8-4a64-2a82-01c6-a557a1e63171,Q983508,Phil Hogan,Q3913273,Carlow–Kilkenny,Q247135,Fine Gael,2011-03-09,2014-10-30,31
